212,273439640,KAPITAN SOKOLOV     ,UFEW   ,0,22,6,2020-01-29 14:06:09.993
213,273439760,POSEYDON,UFXF,9076521,28,8,2020-02-11 09:54:47.457
214,273440170,CASPIAN LEADER, UGOQ,9235684,141,17,2020-02-11 09:32:55.043
215,273440590,NOVOSHAKHTINSK,UIXC,8844153,109,15,2020-01-01 14:59:52.493
216,273440880,VOSTOK              ,UIBE   ,0,23,6,2020-02-11 09:51:53.433
217,273440900,PETROVSK,UGTQ,8841474,111,16,2020-02-11 09:50:17.397
218,273441210,AKSAY,UBBV,8866735,108,15,2020-02-11 09:52:35.580
219,273441360,SPASSK    ,UAZZ   ,0,103,12,2019-11-18 23:59:31.150
220,273441420,LINDA-1,UBRV,8951334,138,17,2019-11-20 14:59:46.783
221,273441640,VOLGONEFT-233 ,UISU   ,0,132,16,2019-10-31 23:55:49.887
222,273441940,SPK-18/35,UBLJ6,8726545,36,18,2019-12-19 16:22:51.197
223,273442130,KAZAK,UBXQ,9202467,103,16,2020-02-04 19:59:51.457
224,273442410,NIZHNIY NOVGOROD    ,UFPG   ,9278959,141,17,2019-12-10 19:59:33.547
225,273442640,VOLGONEFT-231,UIQS ,8866058,133,17,2019-11-19 13:31:22.450
226,273442990,SIROKO,UFKA,8523307,33,10,2020-02-11 09:59:01.333
227,273443360,ILYA MUROMETS,UBAS2,,25,8,2020-02-11 09:59:42.543
228,273443550,VERA,UBZR3,8602957,0,0,2020-01-13 04:59:50.987
229,273443670,VULKAN              ,UDSY   ,7644594,28,8,2020-02-05 14:01:50.383
230,273446280,SIGMA,UDZN,8889402,108,15,2020-02-11 09:53:49.723
231,273447370,EMERALD,UDYW,8935407,108,15,2020-02-07 14:59:17.363
232,273447700,CAPTAIN SOUSHEK,"",0,28,8,2020-02-11 09:54:45.100
233,273447780,RK 6                ,UICS   ,0,19,6,2020-02-11 09:59:40.597
234,273447880,BERKUT              ,UIGI   ,0,16,5,2020-02-11 09:58:12.410
